,european_identity,eu_migrants,noneu_migrants,socialclass,life_satisfaction,national_econ,job_situation,attachment_country,rightwing,age,gender
0,2.0,1.0,1.0,1,3,2.0,1.0,3.0,1.0,28,0
1,4.0,1.0,1.0,3,3,3.0,4.0,3.0,2.0,37,1
2,2.0,1.0,1.0,2,3,3.0,2.0,3.0,5.0,21,1
3,1.0,1.0,1.0,3,2,2.0,2.0,3.0,1.0,42,1
4,2.0,1.0,1.0,2,3,2.0,2.0,2.0,2.0,47,0
5,2.0,0.0,0.0,3,4,3.0,3.0,4.0,5.0,29,1
6,3.0,1.0,1.0,4,3,3.0,3.0,3.0,3.0,35,0
7,3.0,1.0,1.0,2,3,3.0,2.0,3.0,5.0,24,0
8,2.0,1.0,1.0,3,3,3.0,3.0,3.0,4.0,33,1
9,1.0,1.0,1.0,2,2,3.0,2.0,3.0,3.0,26,0
10,1.0,1.0,1.0,4,3,4.0,3.0,3.0,4.0,48,1
11,1.0,1.0,1.0,3,3,2.0,3.0,4.0,1.0,30,1
12,1.0,1.0,1.0,3,3,2.0,2.0,3.0,5.0,23,0
13,2.0,1.0,1.0,1,3,3.0,2.0,4.0,1.0,36,0
14,2.0,1.0,1.0,4,3,3.0,2.0,3.0,1.0,55,1
15,1.0,1.0,1.0,3,3,3.0,3.0,3.0,3.0,32,1
16,2.0,1.0,1.0,3,3,3.0,3.0,3.0,1.0,45,0
17,2.0,0.0,0.0,3,4,2.0,3.0,3.0,4.0,46,1
18,2.0,0.0,0.0,3,4,3.0,3.0,4.0,3.0,52,1
19,4.0,1.0,0.0,3,3,3.0,3.0,1.0,5.0,52,1
20,2.0,0.0,0.0,3,4,2.0,3.0,3.0,4.0,67,0
22,2.0,1.0,0.0,3,3,2.0,2.0,4.0,3.0,26,1
23,1.0,1.0,1.0,3,3,2.0,2.0,4.0,3.0,34,1
24,2.0,1.0,1.0,1,3,3.0,2.0,3.0,2.0,43,1
25,2.0,1.0,1.0,3,3,3.0,3.0,3.0,1.0,18,0
26,2.0,0.0,0.0,2,3,2.0,3.0,3.0,3.0,55,0
27,2.0,0.0,0.0,1,3,3.0,3.0,3.0,1.0,60,0
28,1.0,1.0,1.0,1,3,3.0,3.0,3.0,3.0,30,0
29,4.0,1.0,1.0,1,4,3.0,3.0,2.0,1.0,25,1
30,3.0,1.0,1.0,3,3,3.0,3.0,3.0,2.0,53,0
31,1.0,0.0,0.0,3,4,2.0,3.0,4.0,3.0,22,1
